ponto_id,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor
983,0.1102511500683887,0.15722636565208603,0.14698307579102288,0.08849676724137923,0.3085806270996643,0.2676686348183932,0.11788883089769797,0.30881860776439085,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.05538,-34.951736,1
4749,0.25587467362924277,0.0,0.3037159676232526,0.0,0.36440836132885424,0.38056897477187346,0.1646659707724374,0.28396921017402943,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055506,-34.951693,1
8295,0.5921564448233605,0.3086935237711286,0.547093451066961,0.23100754310344818,0.5231429637924601,0.4433709071390233,0.7138896137787045,0.3723226238286479,0.3262487992315082,0.5,0.5714285714285714,0.2857142857142857,-8.05175,-34.95525,0
9137,0.5697500932487876,0.639790364845797,0.5930831493745401,0.46255387931034475,0.4798432250839866,0.6360708534621577,0.28757828810020425,0.2948125836680051,0.29150656420108856,0.16666666666666666,0.42857142857142855,0.5714285714285714,-8.048630000000001,-34.95071,0
8307,0.47580860020248217,0.47691997581132806,0.4550089351413855,0.5443157327586206,0.5119914147069804,0.5272857398461264,0.2818697807933144,0.357730923694779,0.2785782901056677,0.5,0.2857142857142857,0.5714285714285714,-8.051730000000001,-34.948840000000004,0
293,0.0,0.0,0.0,0.0,0.0,0.0,0.31752348643005823,0.5099286033020967,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055605,-34.951728,1
8959,0.36153887142324304,0.5361822213263452,0.3836592031956274,0.36099137931034475,0.4127939529675255,0.34110369859162115,0.26115605427974464,0.32536813922356056,0.2575648414985592,0.33333333333333337,0.2857142857142857,0.7142857142857142,-8.04937,-34.947540000000004,0
897,0.1102511500683887,0.15722636565208603,0.14698307579102288,0.08849676724137923,0.33221351250466613,0.30151062035120035,0.14313674321502567,0.3508199464524764,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.05538,-34.951736,1
1589,0.1102511500683887,0.15722636565208603,0.1427520235467259,0.0735452586206895,0.1760518317069244,0.1842138895278942,0.05721555323590177,0.189759036144578,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.05538,-34.951736,1
5624,0.18230138008205898,0.0,0.18009565857248,0.0,0.17105263157894757,0.0,0.24305193110646695,0.31867947982405775,0.11015049631764318,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055784,-34.951608,1
2853,0.0,0.0,0.0,0.0,0.3484509145203436,0.384982405916384,0.46300887265135304,0.6253107668770315,0.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,-8.055684,-34.951331,1
1590,0.1102511500683887,0.15722636565208603,0.14443393251341075,0.0735452586206895,0.1760518317069244,0.1842138895278942,0.05721555323590177,0.189759036144578,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.05538,-34.951736,1
8091,0.4998135024244683,0.4679932041351118,0.3948544097550717,0.4748114224137929,0.5015397536394179,0.5465327301076097,0.29690762004174975,0.32610441767068266,0.31111911623439004,0.5,0.2857142857142857,0.5714285714285714,-8.05207,-34.94971,0
5744,0.18230138008205898,0.0,0.18009565857248,0.0,0.17105263157894757,0.0,0.179834290187886,0.30983457640084167,0.11015049631764318,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055784,-34.951608,1
5554,0.18230138008205898,0.0,0.18009565857248,0.0,0.17105263157894757,0.0,0.14568110647181087,0.3528399311531847,0.11015049631764318,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055784,-34.951608,1
2942,0.0,0.0,0.0,0.0,0.2792086599477417,0.36518160672750044,0.4483950939457175,0.6253107668770315,0.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,-8.055684,-34.951331,1
9577,0.7106356903074544,0.39125176375730675,0.7249816041206771,0.31800017959770077,0.6116088092571856,0.36518160672750044,0.44901487473903545,0.3082329317269077,0.20092859430035226,0.0,0.7142857142857142,0.5714285714285714,-8.04658,-34.95377,0
7538,0.41260368377115864,0.3339476488035258,0.4616840113528866,0.1565755208333377,0.25163307204180674,0.3438897835033101,0.5637852296450907,0.5736182826544276,0.375627067990181,0.6666666666666666,0.7142857142857142,0.0,-8.05435,-34.9565,0
4814,0.24238468233246913,0.0,0.3037159676232526,0.0,0.21808510638297895,0.24816604043657198,0.12415187891439938,0.2729250334672022,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055506,-34.951693,1
4031,0.16654233494964577,0.0,0.1532376747608537,0.14599048132183445,0.32600117314563115,0.3488996242619431,0.16368736951982754,0.32928937974118644,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055424,-34.951597,1
5671,0.18230138008205898,0.0,0.18009565857248,0.0,0.17105263157894757,0.0,0.27691153444675964,0.1534471218206157,0.11015049631764318,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.055784,-34.951608,1
7611,0.4442816291007272,0.3561205978057407,0.4163513087354136,0.17145968031609637,0.24248786860768967,0.33369117910180734,0.5060020876826692,0.5449799196787144,0.3927313480627601,0.6666666666666666,0.7142857142857142,0.14285714285714285,-8.05402,-34.955890000000004,0
8366,0.4365375392977042,0.4533936130388443,0.42954378219278877,0.5823006465517241,0.424038820455394,0.5285893208598513,0.2548603862212888,0.3325970548862114,0.28382164585334624,0.33333333333333337,0.2857142857142857,0.5714285714285714,-8.0516,-34.949870000000004,0
8780,0.2659455427079447,0.3769401330376938,0.38134657836644625,0.4873383620689655,0.3833053378126168,0.40444239961148143,0.27084420668057985,0.3393908969210173,0.26044668587896247,0.33333333333333337,0.2857142857142857,0.5714285714285714,-8.05016,-34.95049,0
2767,0.0,0.0,0.0,0.0,0.3484509145203436,0.384982405916384,0.4014874739039629,0.6253107668770315,0.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,-8.055684,-34.951331,1
1302,0.1102511500683887,0.15722636565208603,0.14698307579102288,0.08849676724137923,0.16767983789260943,0.2053267898678477,0.07757045929018203,0.2120147255689424,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,-8.05538,-34.951736,1
