number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
84,0.010488167559335774,17,1,2,483,0.8585461689587426,0.010488167559335774,17,1,2,483
81,0.010488395207366278,17,1,2,485,0.8585461689587426,0.010488395207366278,17,1,2,485
86,0.01049000620849868,17,1,2,467,0.8585461689587426,0.01049000620849868,17,1,2,467
80,0.010491587080095474,17,1,2,499,0.8585461689587426,0.010491587080095474,17,1,2,499
82,0.0104917615707169,17,1,2,497,0.8585461689587426,0.0104917615707169,17,1,2,497
78,0.010492498520622862,17,1,2,500,0.8585461689587426,0.010492498520622862,17,1,2,500
83,0.010492498520622862,17,1,2,500,0.8585461689587426,0.010492498520622862,17,1,2,500
87,0.010493450232760593,17,1,2,469,0.8585461689587426,0.010493450232760593,17,1,2,469
72,0.01049372275988147,18,1,3,468,0.8585461689587426,0.01049372275988147,18,1,3,468
91,0.010494606241561054,17,1,2,470,0.8585461689587426,0.010494606241561054,17,1,2,470
89,0.01049540129134864,17,1,2,471,0.8585461689587426,0.01049540129134864,17,1,2,471
93,0.010496112776923602,17,1,2,472,0.8585461689587426,0.010496112776923602,17,1,2,472
73,0.010499138672073477,18,1,4,465,0.862475442043222,0.010499138672073477,18,1,4,465
99,0.010502078844439808,17,1,2,434,0.8575638506876228,0.010502078844439808,17,1,2,434
66,0.010505607426889036,20,1,3,449,0.8565815324165029,0.010505607426889036,20,1,3,449
92,0.010508463538017355,16,1,2,487,0.8565815324165029,0.010508463538017355,16,1,2,487
75,0.010509761061198929,19,1,2,495,0.8595284872298625,0.010509761061198929,19,1,2,495
76,0.010510972201841341,18,1,2,498,0.8595284872298625,0.010510972201841341,18,1,2,498
53,0.01051108022346883,12,1,5,448,0.8555992141453831,0.01051108022346883,12,1,5,448
97,0.010512175315991702,16,1,2,489,0.8575638506876228,0.010512175315991702,16,1,2,489
43,0.010512559074449156,12,1,4,431,0.8565815324165029,0.010512559074449156,12,1,4,431
69,0.010530949821895933,15,1,3,490,0.862475442043222,0.010530949821895933,15,1,3,490
71,0.010531846418042015,15,1,3,467,0.862475442043222,0.010531846418042015,15,1,3,467
60,0.010535367941060284,19,1,3,349,0.8585461689587426,0.010535367941060284,19,1,3,349
33,0.010537621608278907,15,1,3,442,0.8605108055009824,0.010537621608278907,15,1,3,442
57,0.01053944509572539,16,1,3,477,0.8565815324165029,0.01053944509572539,16,1,3,477
32,0.01053992992421867,15,1,3,433,0.8605108055009824,0.01053992992421867,15,1,3,433
62,0.010541978135546613,19,1,2,355,0.8585461689587426,0.010541978135546613,19,1,2,355
95,0.010542510422361191,17,1,2,242,0.8605108055009824,0.010542510422361191,17,1,2,242
36,0.01054562071412491,12,1,5,385,0.8565815324165029,0.01054562071412491,12,1,5,385
41,0.010546393540689711,14,1,3,425,0.8555992141453831,0.010546393540689711,14,1,3,425
61,0.010549525139361474,19,1,3,400,0.8585461689587426,0.010549525139361474,19,1,3,400
51,0.010554947358435495,12,1,6,424,0.8575638506876228,0.010554947358435495,12,1,6,424
45,0.010554947358435495,12,1,6,424,0.8575638506876228,0.010554947358435495,12,1,6,424
64,0.010558353209770218,19,1,2,295,0.8595284872298625,0.010558353209770218,19,1,2,295
77,0.010560026029896192,18,2,2,497,0.8526522593320236,0.010560026029896192,18,2,2,497
74,0.010561636567882917,18,2,4,463,0.8546168958742633,0.010561636567882917,18,2,4,463
79,0.010563960284020082,20,2,2,452,0.8546168958742633,0.010563960284020082,20,2,2,452
88,0.010565116114458699,17,2,2,481,0.8526522593320236,0.010565116114458699,17,2,2,481
85,0.010565349160771483,17,2,2,480,0.8526522593320236,0.010565349160771483,17,2,2,480
23,0.010569036100799775,15,1,3,198,0.862475442043222,0.010569036100799775,15,1,3,198
68,0.010572385932382137,20,2,3,439,0.8555992141453831,0.010572385932382137,20,2,3,439
13,0.01057560397566294,14,1,3,326,0.8546168958742633,0.01057560397566294,14,1,3,326
56,0.01057664919217674,14,2,4,414,0.8565815324165029,0.01057664919217674,14,2,4,414
47,0.010577123768382341,11,2,4,460,0.849705304518664,0.010577123768382341,11,2,4,460
42,0.010578957348557008,16,1,3,405,0.8555992141453831,0.010578957348557008,16,1,3,405
58,0.010578972343273426,16,2,4,476,0.8546168958742633,0.010578972343273426,16,2,4,476
63,0.010584301996936708,19,2,2,344,0.8565815324165029,0.010584301996936708,19,2,2,344
22,0.010587472237374638,18,2,3,183,0.8565815324165029,0.010587472237374638,18,2,3,183
96,0.010587672348485073,16,2,3,459,0.8546168958742633,0.010587672348485073,16,2,3,459
12,0.010587926639089919,14,2,2,344,0.8565815324165029,0.010587926639089919,14,2,2,344
34,0.010589809748228067,15,1,7,440,0.8526522593320236,0.010589809748228067,15,1,7,440
52,0.010590052665359966,14,1,7,500,0.849705304518664,0.010590052665359966,14,1,7,500
31,0.010590422752920789,14,2,2,331,0.8565815324165029,0.010590422752920789,14,2,2,331
16,0.010591251570337976,20,2,4,136,0.8536345776031434,0.010591251570337976,20,2,4,136
25,0.010593438869759097,15,1,3,84,0.8654223968565815,0.010593438869759097,15,1,3,84
17,0.010597150711057766,13,2,2,326,0.8526522593320236,0.010597150711057766,13,2,2,326
50,0.010601391504807312,17,2,3,390,0.8555992141453831,0.010601391504807312,17,2,3,390
14,0.01060320840236817,13,1,4,151,0.8565815324165029,0.01060320840236817,13,1,4,151
55,0.010603882960756802,11,1,2,368,0.8536345776031434,0.010603882960756802,11,1,2,368
19,0.01060882309075753,18,2,2,298,0.8565815324165029,0.01060882309075753,18,2,2,298
24,0.010611996189093942,18,1,5,202,0.8546168958742633,0.010611996189093942,18,1,5,202
54,0.010612514045797942,13,2,5,447,0.8516699410609038,0.010612514045797942,13,2,5,447
21,0.010632134943292598,20,2,4,106,0.8526522593320236,0.010632134943292598,20,2,4,106
44,0.010653675856448023,10,2,4,473,0.8388998035363457,0.010653675856448023,10,2,4,473
35,0.010660451370193412,15,3,6,440,0.8477406679764243,0.010660451370193412,15,3,6,440
98,0.010682603627611073,18,3,2,414,0.8477406679764243,0.010682603627611073,18,3,2,414
37,0.010683553061744198,12,3,5,407,0.849705304518664,0.010683553061744198,12,3,5,407
46,0.010685708860977628,13,3,2,385,0.8457760314341847,0.010685708860977628,13,3,2,385
26,0.010700520983418286,18,3,6,185,0.8516699410609038,0.010700520983418286,18,3,6,185
10,0.010705521785955317,16,3,3,361,0.8477406679764243,0.010705521785955317,16,3,3,361
11,0.010706850744870456,16,3,2,352,0.8487229862475442,0.010706850744870456,16,3,2,352
3,0.010758368912868835,16,4,8,396,0.8428290766208252,0.010758368912868835,16,4,8,396
94,0.010761668508896935,18,1,11,485,0.8388998035363457,0.010761668508896935,18,1,11,485
20,0.010774186379118852,11,4,4,370,0.8428290766208252,0.010774186379118852,11,4,4,370
28,0.010778185299608547,14,1,10,218,0.8408644400785854,0.010778185299608547,14,1,10,218
18,0.010780516651656934,10,4,5,468,0.8349705304518664,0.010780516651656934,10,4,5,468
65,0.01084851786739619,17,5,3,484,0.8339882121807466,0.01084851786739619,17,5,3,484
38,0.010885037038491722,9,1,7,495,0.8212180746561886,0.010885037038491722,9,1,7,495
27,0.010906672699128985,17,5,3,161,0.8349705304518664,0.010906672699128985,17,5,3,161
59,0.010922827914910059,9,3,5,459,0.8231827111984283,0.010922827914910059,9,3,5,459
15,0.010967016183800573,13,1,14,306,0.8330058939096268,0.010967016183800573,13,1,14,306
70,0.01098945325971691,16,6,4,487,0.8280943025540275,0.01098945325971691,16,6,4,487
29,0.01100597046466369,12,2,14,270,0.8290766208251473,0.01100597046466369,12,2,14,270
48,0.011132980177625797,9,1,13,426,0.81237721021611,0.011132980177625797,9,1,13,426
49,0.011138660799478641,13,7,9,478,0.825147347740668,0.011138660799478641,13,7,9,478
6,0.011168514804340645,10,7,8,199,0.8133595284872298,0.011168514804340645,10,7,8,199
39,0.011177728986735575,11,7,4,381,0.8202357563850687,0.011177728986735575,11,7,4,381
7,0.011298057339935597,20,8,9,412,0.8143418467583498,0.011298057339935597,20,8,9,412
67,0.01147796486727601,20,9,4,459,0.8055009823182712,0.01147796486727601,20,9,4,459
30,0.01171384326067064,17,10,5,71,0.8045186640471512,0.01171384326067064,17,10,5,71
9,0.01230325913154103,8,9,8,489,0.5402750491159135,0.01230325913154103,8,9,8,489
5,0.01345123250536671,7,6,6,251,0.2043222003929273,0.01345123250536671,7,6,6,251
40,0.015912133549173407,6,4,5,453,0.24165029469548133,0.015912133549173407,6,4,5,453
0,0.015968124948735347,6,10,7,436,0.23968565815324164,0.015968124948735347,6,10,7,436
1,0.022562598529693535,4,1,6,38,0.0029469548133595285,0.022562598529693535,4,1,6,38
90,0.022607376093543893,4,2,2,500,0.003929273084479371,0.022607376093543893,4,2,2,500
2,0.022622623654870777,4,3,11,271,0.003929273084479371,0.022622623654870777,4,3,11,271
8,0.02809738703378599,3,5,11,21,0.14931237721021612,0.02809738703378599,3,5,11,21
4,0.028173530479073904,3,6,8,233,0.14931237721021612,0.028173530479073904,3,6,8,233
