number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
63,0.011923447748269072,14,2,3,295,0.8436578171091446,0.011923447748269072,14,2,3,295
33,0.011937413546036819,10,1,3,484,0.8190757128810227,0.011937413546036819,10,1,3,484
47,0.011943999638377539,10,1,4,305,0.8200589970501475,0.011943999638377539,10,1,4,305
4,0.011944707326872115,11,1,8,291,0.8367748279252704,0.011944707326872115,11,1,8,291
70,0.011970913283465567,11,2,9,330,0.8387413962635202,0.011970913283465567,11,2,9,330
58,0.011972208192757048,18,1,11,240,0.831858407079646,0.011972208192757048,18,1,11,240
37,0.012003674798419335,18,3,5,416,0.839724680432645,0.012003674798419335,18,3,5,416
18,0.012010151880811658,17,3,4,360,0.8407079646017699,0.012010151880811658,17,3,4,360
24,0.012021655627475978,10,2,2,437,0.8210422812192724,0.012021655627475978,10,2,2,437
23,0.012033751716673218,14,3,3,387,0.8367748279252704,0.012033751716673218,14,3,3,387
30,0.012068592697873139,16,1,7,21,0.8348082595870207,0.012068592697873139,16,1,7,21
67,0.012071148903282253,13,3,4,304,0.8367748279252704,0.012071148903282253,13,3,4,304
14,0.012102491395440848,10,3,2,436,0.8180924287118977,0.012102491395440848,10,3,2,436
48,0.012132368950248537,14,4,2,143,0.8387413962635202,0.012132368950248537,14,4,2,143
57,0.012136309492463403,17,3,14,185,0.8171091445427728,0.012136309492463403,17,3,14,185
12,0.012137042776775164,14,4,2,500,0.8328416912487709,0.012137042776775164,14,4,2,500
15,0.01216448043968009,15,4,4,461,0.8338249754178958,0.01216448043968009,15,4,4,461
7,0.012225635187348965,19,4,11,414,0.8328416912487709,0.012225635187348965,19,4,11,414
79,0.012289015229907505,12,5,2,465,0.8308751229105211,0.012289015229907505,12,5,2,465
29,0.01229610813033751,13,5,8,395,0.8279252704031466,0.01229610813033751,13,5,8,395
46,0.012337513815287936,9,3,3,453,0.80039331366765,0.012337513815287936,9,3,3,453
28,0.01233923805858863,9,3,5,470,0.799410029498525,0.01233923805858863,9,3,5,470
1,0.012403275166706808,16,6,3,365,0.8190757128810227,0.012403275166706808,16,6,3,365
38,0.012414311978480605,17,6,7,336,0.8200589970501475,0.012414311978480605,17,6,7,336
